params,sse,pseudo_accuracy
"{'temperature': 0.8, 'top_p': 0.9, 'frequency_penalty': 1.0, 'presence_penalty': 0.5}",3.7325000000000004,0.2918611111111112
"{'temperature': 0.8, 'top_p': 0.9, 'frequency_penalty': 1.0, 'presence_penalty': 1.0}",3.5574999999999997,0.29380555555555554
"{'temperature': 1.4, 'top_p': 0.3, 'frequency_penalty': 0, 'presence_penalty': 0}",3.2425,0.29730555555555566
"{'temperature': 1.4, 'top_p': 0.3, 'frequency_penalty': 0, 'presence_penalty': 0.5}",3.4175,0.2953611111111112
"{'temperature': 1.4, 'top_p': 0.3, 'frequency_penalty': 0, 'presence_penalty': 1.0}",3.2775,0.29691666666666666
"{'temperature': 1.4, 'top_p': 0.3, 'frequency_penalty': 0.5, 'presence_penalty': 0}",3.3575,0.29602777777777783
"{'temperature': 1.4, 'top_p': 0.3, 'frequency_penalty': 0.5, 'presence_penalty': 0.5}",3.5675,0.2936944444444445
"{'temperature': 1.4, 'top_p': 0.3, 'frequency_penalty': 0.5, 'presence_penalty': 1.0}",3.1824999999999997,0.29797222222222225
"{'temperature': 1.4, 'top_p': 0.3, 'frequency_penalty': 1.0, 'presence_penalty': 0}",2.9575,0.30047222222222225
"{'temperature': 1.4, 'top_p': 0.3, 'frequency_penalty': 1.0, 'presence_penalty': 0.5}",3.3775,0.2958055555555556
"{'temperature': 1.4, 'top_p': 0.3, 'frequency_penalty': 1.0, 'presence_penalty': 1.0}",3.0875,0.29902777777777784
"{'temperature': 1.4, 'top_p': 0.6, 'frequency_penalty': 0, 'presence_penalty': 0}",3.8375,0.2906944444444444
"{'temperature': 1.4, 'top_p': 0.6, 'frequency_penalty': 0, 'presence_penalty': 0.5}",3.3575,0.2960277777777778
"{'temperature': 1.4, 'top_p': 0.6, 'frequency_penalty': 0, 'presence_penalty': 1.0}",3.1125000000000003,0.29874999999999996
"{'temperature': 1.4, 'top_p': 0.6, 'frequency_penalty': 0.5, 'presence_penalty': 0}",3.3874999999999997,0.2956944444444444
"{'temperature': 1.4, 'top_p': 0.6, 'frequency_penalty': 0.5, 'presence_penalty': 0.5}",3.6374999999999997,0.2929166666666667
"{'temperature': 1.4, 'top_p': 0.6, 'frequency_penalty': 0.5, 'presence_penalty': 1.0}",3.1675,0.2981388888888889
"{'temperature': 1.4, 'top_p': 0.6, 'frequency_penalty': 1.0, 'presence_penalty': 0}",3.4325,0.2951944444444445
"{'temperature': 1.4, 'top_p': 0.6, 'frequency_penalty': 1.0, 'presence_penalty': 0.5}",3.6574999999999998,0.2926944444444445
"{'temperature': 1.4, 'top_p': 0.6, 'frequency_penalty': 1.0, 'presence_penalty': 1.0}",2.6025000000000005,0.30441666666666667
"{'temperature': 1.4, 'top_p': 0.9, 'frequency_penalty': 0, 'presence_penalty': 0}",3.7625,0.2915277777777777
"{'temperature': 1.4, 'top_p': 0.9, 'frequency_penalty': 0, 'presence_penalty': 0.5}",3.1475000000000004,0.29836111111111113
"{'temperature': 1.4, 'top_p': 0.9, 'frequency_penalty': 0, 'presence_penalty': 1.0}",3.357500000000001,0.29602777777777783
"{'temperature': 1.4, 'top_p': 0.9, 'frequency_penalty': 0.5, 'presence_penalty': 0}",2.5075000000000003,0.3054722222222222
"{'temperature': 1.4, 'top_p': 0.9, 'frequency_penalty': 0.5, 'presence_penalty': 0.5}",3.2625,0.2970833333333333
"{'temperature': 1.4, 'top_p': 0.9, 'frequency_penalty': 0.5, 'presence_penalty': 1.0}",3.6975000000000002,0.29225000000000007
"{'temperature': 1.4, 'top_p': 0.9, 'frequency_penalty': 1.0, 'presence_penalty': 0}",3.4575000000000005,0.29491666666666666
"{'temperature': 1.4, 'top_p': 0.9, 'frequency_penalty': 1.0, 'presence_penalty': 0.5}",3.5774999999999997,0.29358333333333336
"{'temperature': 1.4, 'top_p': 0.9, 'frequency_penalty': 1.0, 'presence_penalty': 1.0}",3.2775000000000003,0.29691666666666666
